license_number,application_number,business_name,my_business_name_sixletters,license_type,all_packets_submitted_dt,application_fee,lic_fee_amount,dbe,cnb_dt_of_final_licensure,approved_license_type,priority_type,application_status,row_ct,business_address_1,business_address_2,business_city,business_state,business_zipcode,my_business_zipcode,,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,dph_rmd_number,name_of_rmd,establishment_address_1,establishment_address_2,establishment_city,establishment_state,establishment_zip_code,establishment_county,square_footage_establishment,abutters_count,is_abutters_notified,massachusetts_business,dba_name,dba_registration_city,cooperative_total_canopy,cooperative_cultivation,cultivation_tier,establishment_activities,establishment_cultivation,app_create_date,my_longitude,latitude,my_latitude,longitude,disability_owned_business,lesbian_gay_bisexual_and_transgender_owned_business,minority_owned_business,veteran_owned_business,woman_owned_business,not_a_dbe,county_geocoded_column_1
MP281741,MPN281741,Royal Hemp LLC,Royal ,Marijuana Product Manufacturer,,300,0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,660 Cheshire Rd.,,Lanesborough,MA,1224,01224,,660 Cheshire Rd.,,Lanesborough,MA,1224,,,660 Cheshire Road,,Lanesborough,MA,1224,,"2,400",17,Yes,1381864,,,,,,,,8/9/2019 0:00,-73.20199561,(-73.20199560999998,42.49286197,42.49286197200007),,,,,,1,
MC282102,MCN282102,Humboldt Masters LLC,Humbol,Marijuana Cultivator,,600,0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,149 Parsons St,,Brighton,MA,2135,02135,,149 Parsons St,,Brighton,MA,2135,,,215 Shrewsbury Street,,West Boylston,MA,1583,,"22,440",140,Yes,1341660,,,,,"Tier 04: 20,001 to 30,000 sq. ft",,,4/20/2019 0:00,-71.77146391,(-71.77146390599995,42.33245594,42.332455941000035),,,,,,1,
MR283519,MRN283519,"JDM Sales, Inc.",JDM Sa,Marijuana Retailer,,"1,500",0,Minority-Owned Business,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,220 Pulaski Boulevard,,Bellingham,MA,2019,02019,,220 Pulaski Boulevard,,Bellingham,MA,2019,,,103 Uxbridge Road,,Mendon,MA,1756,,"4,000",12,Yes,1417130,,,,,,,,5/11/2020 0:00,-71.57949494,(-71.57949493799998,42.09649149,42.09649149400008),,,1,,,,
MC282830,MCN282830,7LEAF GARDENS LLC,7LEAF ,Marijuana Cultivator,,200,0,Not a DBE,,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,Charlotte Court,,Middleborough,MA,2346,02346,,1120 Somerset Avenue   PO BOX 401,,North Dighton,MA,2764,,,"Charlotte Court, Bldg 2, Lot 2a","41.857419,-70.8660704",Middleborough,MA,2346,,"10,000",40,Yes,1428932,,,,,,,,6/2/2020 0:00,-70.89026844,(-70.89026844199998,41.88532555,41.885325548000026),,,,,,1,
MC281359,MCN281359,"Silver Therapeutics, Inc",Silver,Marijuana Cultivator,,600,"5,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,82 Wendell Ave,Suite 100,Pittsfield,MA,1201,01201,,89 Court Street,,Saratoga Springs,NY,12866,RPA201854,"Silver Therapeutics, Inc.",158 Gov. Dukakis Dr.,,Orange,MA,1364,,"20,000",4,Yes,1327528,,,,,"Tier 03: 10,001 to 20,000 sq. ft",,,5/2/2018 0:00,-72.28692941,(-72.28692940999997,42.56388804,42.56388804100004),,,,,,1,
MC281618,MCN281618,Emerald City Growers Incorporated,Emeral,Marijuana Cultivator,,400,"2,500",Woman-Owned Business,,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,843 Main Street,,Clinton,MA,1510,01510,,25 Juniper Street,,Billerica,MA,1862,,,843 Main Street,,Clinton,MA,1510,,"10,000",26,Yes,1341649,,,,,"Tier 02: 5,001 to 10,000 sq. ft.",,,7/23/2018 0:00,-71.68736031,(-71.68736030899998,42.42678647,42.42678646600007),,,,,1,,
MR283074,MRN283074,"Silver Therapeutics, Inc.",Silver,Marijuana Retailer,,"1,500","10,000",Not a DBE,,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,82 Wendell Ave,Suite 100,Pittsfield,MA,1201,01201,,89 Court Street,,Saratoga Springs,NY,12866,RPA201854,"Silver Therapeutics, Inc.",717-721 American Legion Highway,,Boston,MA,2121,,"7,245",4,Yes,1258563,,,,,,,,10/23/2019 0:00,-71.11419362,(-71.11419361599997,42.28318037,42.28318036600007),,,,,,1,
MC281265,MCN281265,Patriot Care Corp,Patrio,Marijuana Cultivator,,600,"12,500",Not a DBE,1/24/2019 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,170 Lincoln Street,,Lowell,MA,1852,01852,,321 Billerica Road,,Chelmsford,MA,1854,"005 (Lowell), 009 (Boston, 036 (Greenfield)",Patriot Care Corp,170 Lincoln Street,,Lowell,MA,1852,,"40,000",36,Yes,463348302,Patriot Care Corp,Lowell,,,"Tier 06: 40,001 to 50,000 sq. ft",,,4/19/2018 0:00,-71.31705126,(-71.31705126299994,42.62830309,42.62830309200007),,,,,,1,
MR282825,MRN282825,"BWell Holdings, Inc",BWell ,Marijuana Retailer,,300,"10,000","Lesbian, Gay, Bisexual, and Transgender Owned Business | Veteran-Owned Business | Woman-Owned Business",8/6/2020 0:00,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,220 Commercial St,Unit 2,Provincetown,MA,2657,02657,,220 Commercial St,Unit 2,Provincetown,MA,2657,,,220 Commercial St,Unit 2,Provincetown,MA,2657,,"1,000",153,Yes,1375971,,,,,,,,7/1/2019 0:00,-70.1887911,(-70.18879110499995,42.04977839,42.049778393000054),,1,,1,1,,
MP281426,MPN281426,"I.N.S.A., Inc.",I.N.S.,Marijuana Product Manufacturer,,300,"5,000",Not a DBE,11/20/2018 0:00,FINAL LICENSE,RMD PRIORITY,APPROVED,1,"122 Pleasant Street,",Suite 144,Easthampton,MA,1027,01027,,122 Pleasant Street,Suite 144,Easthampton,MA,1027,17,INSA,122 Pleasant Street,Suite 144,Easthampton,MA,1027,,"88,000",5,Yes,1309430,,,,,,,,7/2/2018 0:00,-72.66216115,(-72.66216114799994,42.27339039,42.27339038700006),,,,,,1,
